"lfp","k5","k618","age","wc","hc","lwg","inc"
"yes",0,1,50,"yes","yes",1.868332,33.0499992
"yes",0,5,37,"yes","yes",2.1202636,34.75
"yes",0,1,44,"no","no",1.5151978,16.3999996
"yes",0,2,32,"yes","yes",0.9146253,19.7000008
"yes",1,1,34,"no","no",1.4995565,6.5999985
"yes",0,2,32,"no","no",0.8030804,9.0200005
"yes",0,3,37,"no","yes",0.7280345,10.3999996
"yes",0,1,44,"yes","no",0.5163968,14.5199995
"yes",0,2,34,"yes","no",1.2264457,17.2000008
"yes",1,3,33,"no","yes",0.9162908,43
"yes",0,3,43,"no","no",1.3764663,13.8720007
"yes",0,2,35,"yes","no",1.8289676,-0.029
"yes",0,1,43,"yes","yes",1.3682758,16.7700005
"yes",0,0,34,"no","no",1.0647107,7.7999997
"yes",0,3,36,"no","no",1.4064971,14.499999
"yes",0,2,41,"no","no",1.0473189,7.9000001
"yes",0,0,41,"yes","yes",1.9480944,79.8000031
"yes",0,3,35,"no","no",1.0779932,7.1759992
"yes",1,3,32,"no","no",0.6539265,17.507
"yes",0,0,30,"yes","yes",1.9278916,20.6000004
"yes",0,0,43,"no","no",1.3610165,18.5599995
"yes",0,0,54,"no","no",0.6931472,9.3000002
"yes",0,2,35,"yes","no",1.6046872,5.1200004
"yes",0,0,50,"no","yes",0.1839228,14.5
"yes",1,1,34,"yes","yes",3.1135154,19.7999992
"yes",0,0,52,"yes","no",1.926825,18.3000011
"yes",0,3,35,"yes","yes",1.2701128,34
"yes",0,0,55,"no","no",0.682676,11.6279993
"yes",0,0,35,"yes","yes",1.6810741,11.7999992
"yes",0,1,49,"yes","yes",0.556288,39.0999985
"yes",2,2,38,"yes","no",1.6282244,18.4300003
"yes",0,2,42,"yes","yes",0.9162908,21
"yes",0,1,48,"no","no",1.3415585,59
"yes",0,0,51,"yes","yes",0,25.2999992
"yes",0,2,43,"no","no",1.1222221,23.2490005
"yes",0,1,43,"no","no",0.5401976,24.9279995
"yes",0,1,38,"no","yes",1.3915043,14.7819996
"yes",0,1,44,"no","no",1.6971768,18.8999996
"yes",1,3,36,"no","no",3.2188759,21
"yes",0,0,38,"no","no",0.8711703,10
"yes",0,0,47,"no","no",1.1673195,29.3099995
"yes",0,2,34,"no","no",1.2169925,13.1400003
"yes",1,2,40,"yes","yes",0.5753643,25.0900002
"yes",0,1,31,"no","no",1.1516048,14.6000004
"yes",0,0,46,"no","no",0.9942524,1.1999998
"yes",0,3,36,"yes","yes",0.5263296,32
"yes",1,2,39,"yes","no",-1.5432981,16.1200008
"yes",0,2,36,"yes","no",1.9120456,26.5
"yes",0,4,37,"no","no",0.5543109,12.75
"yes",0,4,39,"no","no",0.9162908,12.8999996
"yes",1,3,36,"no","no",1.5009363,10.6999998
"yes",0,2,49,"no","yes",0.94469,14.434001
"yes",1,1,45,"no","no",1.2412686,23.7089996
"yes",2,0,32,"yes","yes",1.5649862,15.0999994
"yes",0,5,36,"no","no",0.8380113,18.2000008
"yes",0,1,40,"no","no",1.6688613,22.6410007
"yes",0,2,43,"yes","no",1.7694349,21.6400013
"yes",0,1,33,"no","no",1.2264457,24
"yes",0,1,30,"no","no",1.4064971,16
"no",0,1,49,"no","yes",0.868948,21.0249996
"no",2,0,30,"yes","yes",1.4018365,23.6000004
"no",1,0,30,"no","yes",1.1174339,22.7999992
"no",0,4,41,"no","yes",0.8318294,35.9099998
"no",0,1,45,"no","yes",1.1690733,21.7000008
"no",0,5,43,"no","yes",0.942697,21.823
"no",0,1,42,"yes","yes",1.2022138,31
"no",0,0,60,"no","no",1.0930369,15.3000002
"no",0,0,57,"no","no",1.0061998,12.9250002
"no",0,2,38,"no","no",0.711668,15.8299999
"no",0,0,56,"no","no",0.974076,30.2000008
"no",0,3,32,"no","no",1.0163747,16.6000004
"no",0,1,49,"no","no",0.3405683,11
"no",0,0,55,"no","no",0.9520319,15
"no",1,1,36,"no","yes",0.4209535,20.5279999
"no",0,3,44,"no","no",0.8524491,13.1260004
"no",0,1,44,"no","no",0.8281056,15.5500002
"no",1,2,35,"yes","yes",1.1201084,18.0100002
"no",2,3,44,"yes","no",1.2789059,18.8740005
"no",0,1,45,"no","no",0.9068115,24.7999992
"no",1,0,34,"no","no",0.8718655,17.5
"no",2,0,30,"yes","yes",1.7003706,16.1499996
"no",0,1,39,"no","no",0.7517971,15.1890001
"no",0,2,36,"no","yes",0.9234089,6
"no",0,2,38,"yes","yes",1.4720492,37.25
"no",0,0,53,"no","yes",1.1203605,27.7600002
"no",0,2,36,"no","no",0.778245,9.0900002
"no",1,1,32,"no","no",1.0709316,14.5
"no",0,3,51,"no","no",0.9759441,19.7000008
"no",0,0,38,"no","no",0.8379935,16.7880001
"no",2,0,33,"no","no",1.0415969,18.5200005
"no",0,0,54,"no","no",1.1201659,20.9500008
"no",0,3,38,"no","no",0.5365883,7.5739999
"no",2,2,30,"no","yes",0.8188999,10.0270004
"no",2,3,34,"no","no",1.0694989,5
"no",0,1,34,"no","yes",0.4213425,7.04
"no",0,2,50,"no","no",0.9058391,40.7999992
"no",2,0,30,"yes","yes",1.5986567,16.0499992
"no",0,2,38,"no","yes",0.8710875,33.0999985
"no",0,0,54,"yes","yes",1.3315178,33.855999
"no",1,2,30,"no","yes",0.9452254,20.5
"no",0,0,55,"no","no",0.7888429,28.6000004
"no",0,1,51,"no","no",0.8548406,18.75
"no",0,1,44,"no","no",0.9764099,20.2999992
"no",0,0,53,"no","no",0.734675,13.4200001
"no",0,2,42,"no","no",0.5254625,18.3999996
"no",0,2,38,"no","no",1.2308719,16.6819992
"no",1,3,38,"yes","no",0.9767634,32.6850014
"no",1,4,41,"no","no",1.1698513,7.0500002
"no",0,3,35,"no","no",0.5554565,10.8669996
"no",1,2,33,"no","no",0.9785493,18.2199993
"no",0,0,48,"yes","yes",1.0267509,26.6130009
"no",0,0,47,"no","no",1.1215274,25
"no",0,5,34,"no","yes",0.7929273,15.6999998
"no",2,1,33,"yes","yes",1.0503179,40.25
"no",3,1,31,"yes","yes",0.9606535,73.5999985
"no",0,0,58,"no","no",0.4444938,10.592
"no",0,0,49,"no","no",0.7757166,8
"no",0,1,55,"no","no",0.3661391,13.3999996
"no",0,0,44,"yes","no",1.0425979,23.7000008
"no",0,0,44,"no","no",0.5142181,18.8999996
"no",0,3,36,"yes","yes",1.4329879,48.2999992
"no",0,3,38,"no","yes",1.1704348,24.4699993
"no",0,3,37,"yes","yes",1.4327934,28.6299992
"no",0,0,47,"no","no",1.0955653,25.3199997
"no",0,3,47,"no","no",1.2094852,13.5299997
"no",1,1,32,"no","no",1.1927967,14.8000002
"no",1,2,43,"no","no",1.0142353,17.3999996
"no",1,4,42,"no","no",0.6311384,15.9799995
"no",0,0,56,"no","no",0.7743551,16.5760002
"no",0,5,38,"yes","yes",1.0138489,21.8500004
"no",0,2,52,"no","no",1.1889068,14.6000004
"no",0,0,50,"no","no",0.9058391,21.6000004
"no",0,0,33,"yes","yes",1.4934409,24
"no",0,2,44,"yes","yes",1.4913014,20.8829994
"no",0,1,41,"no","yes",1.2186279,19.5
"no",0,1,45,"no","no",0.8697261,42.7999992
"no",0,0,53,"yes","yes",1.0620506,41.5
"no",0,0,53,"yes","yes",1.1860113,18.9650002
"no",0,1,42,"no","no",0.8703095,16.1000004
"no",2,0,32,"yes","yes",1.2301208,14.6999998
"no",0,0,56,"no","no",1.3053159,18.7999992
"no",1,3,37,"no","no",0.7269315,14.75
"no",1,2,40,"no","yes",0.9771879,21
"no",0,3,54,"yes","yes",1.3836806,35.4000015
"no",0,0,53,"no","no",0.2062952,10.6999998
"no",0,1,48,"no","no",0.9417245,24.5
"no",1,2,36,"no","yes",0.8714765,17.0450001
"no",0,0,57,"no","yes",1.3051213,18.7999992
"no",0,0,51,"no","no",1.3194934,14
"no",0,4,33,"yes","no",0.9602645,18.2140007
"no",0,0,52,"no","no",1.2927774,20.177
"no",0,0,56,"no","no",1.0806476,8.3000002
"no",1,2,36,"no","no",0.7925383,14.1999998
"no",1,0,36,"yes","yes",1.3864363,21.7679996
"no",0,1,46,"no","no",1.1217219,29.5529995
"no",0,3,31,"no","no",0.6791221,4.3499999
"no",0,0,52,"no","no",0.7997742,24
"no",0,2,46,"no","no",1.1217219,18.2999992
"no",2,0,35,"no","yes",1.0978992,17.2000008
"no",0,0,59,"no","no",0.9819832,16.4759998
"no",0,1,36,"no","no",0.6935631,13.3999996
"no",1,3,51,"no","no",0.2066842,44.987999
"no",1,0,31,"yes","no",1.6697453,18.2000008
"no",0,2,31,"yes","yes",1.1563828,28
"no",1,1,32,"no","yes",1.0417913,11.5500002
"no",1,2,35,"yes","yes",1.4639117,28.4500008
"no",0,3,40,"no","no",1.2108465,15.0959997
"no",1,2,33,"no","no",0.6061511,8.0089998
"no",0,0,54,"no","no",0.7640087,10.04
"no",1,1,36,"no","no",0.9779658,16.7000008
"no",0,1,50,"no","no",0.8550351,8.3999996
"no",0,0,54,"no","no",0.8151277,13
"no",0,1,48,"no","no",1.0156569,17.9699993
"no",0,4,41,"yes","yes",1.331652,18.4500008
"no",0,4,50,"no","no",1.145317,31
"no",0,2,46,"no","no",0.906617,24.1350002
"no",0,1,42,"yes","yes",1.0602362,31.7000008
"no",1,2,31,"no","no",0.5734462,10.1899996
"no",0,0,53,"no","no",0.8861951,21.5739994
"no",0,1,51,"no","no",1.0947874,26.6800003
"no",0,1,47,"no","no",1.1215274,17.7000008
"no",0,1,50,"no","no",0.9058391,29.3999996
"no",0,1,37,"no","no",0.1826694,22.1590004
"no",2,2,30,"no","no",0.8180865,35
"no",0,0,49,"no","no",0.7900099,8.6300001
"no",0,2,52,"no","yes",1.0670418,17.0799999
"no",0,2,47,"no","yes",1.0081447,32.5
"no",0,0,49,"no","no",1.2271129,16
"no",0,4,44,"no","yes",1.2280854,18.8500004
"no",0,0,53,"no","no",0.6716946,17.5
"no",1,0,30,"no","yes",1.0167637,19.3920002
"no",0,2,54,"no","no",1.2706565,14.4499998
"no",1,1,47,"no","no",0.3780428,21.7999992
"no",0,0,56,"yes","no",1.4368049,7.6999998
"no",0,1,49,"no","yes",0.9531989,31.7999992
"no",0,0,48,"no","no",0.6594997,17.2579994
"no",0,1,49,"no","no",1.0130683,13.3990002
"no",0,1,56,"no","no",0.8501152,16.073
"no",0,0,46,"no","no",0.9421135,23.2600002
"no",0,2,45,"no","yes",1.1902683,37.2999992
"no",0,2,32,"no","no",0.9448364,11
"no",1,1,43,"no","no",1.2595463,13.0749998
"no",1,1,34,"no","no",0.9444474,13.6999998
"no",1,1,30,"no","no",0.7391483,25.1000004
"no",2,0,38,"yes","no",1.7576321,18.6000004
"no",1,1,33,"yes","yes",1.5167702,29
"no",0,0,52,"no","no",1.3134575,19.2369995
"no",0,3,43,"no","no",0.7257645,19.8549995
"no",1,1,33,"no","no",0.9239924,9.4499998
"no",0,0,45,"no","no",0.5651426,30
"no",2,1,36,"no","no",0.7666139,15
"no",1,1,34,"no","yes",0.908951,24.7010002
"no",0,2,37,"yes","yes",1.0651624,15.8999996
"no",0,1,46,"no","no",1.0179641,16.2399998
"no",0,0,47,"no","no",1.2937499,21.1000004
"no",2,1,31,"yes","yes",1.4016421,23
"no",0,0,57,"no","no",-0.0058346,6.3400002
"no",1,1,30,"no","yes",0.9097289,42.25
"no",0,0,30,"no","yes",0.9097289,14.6940002
"no",0,3,44,"no","no",1.0394574,21.4169998
"no",0,0,53,"yes","yes",1.143383,20.2000008
"no",0,0,51,"no","no",0.4071807,12.0900002
"no",1,3,39,"no","yes",1.1914352,24.7600002
"no",0,0,52,"no","no",0.3121657,23
"no",0,4,46,"no","no",0.3678896,19.3649998
"no",0,5,47,"no","no",1.1141275,5.5500002
"no",0,2,52,"no","no",0.3667226,68.0350037
"no",0,2,45,"no","yes",0.9762154,29.2999992
"no",0,0,60,"no","no",0.9208875,18.5
"no",0,2,41,"yes","no",1.1738135,22.5820007
"no",0,3,39,"no","no",0.4481892,21.5
"no",0,1,49,"no","no",0.8514767,28.0699997
"no",1,1,32,"yes","yes",1.1506077,50.2999992
"no",1,3,33,"no","yes",0.9785493,23.5
"no",0,4,36,"no","no",0.857758,15.5
"no",3,3,37,"yes","yes",0.994983,13.4399996
"no",1,2,30,"no","no",0.9876235,8.1000004
"no",1,1,44,"no","no",0.9904729,9.8000002
"no",0,1,48,"no","no",0.9756319,20.2999992
"no",0,4,40,"no","no",0.8376045,15
"no",0,0,47,"yes","yes",1.2515764,56.0999985
"no",0,2,36,"no","no",1.0977048,22.8460007
"no",0,2,40,"no","yes",0.8376045,22.2250004
"no",0,1,46,"no","no",0.8695315,17.6350002
"no",0,0,52,"no","no",1.2589005,18.5
"no",0,1,44,"no","no",0.8524491,13.3900003
"no",0,1,45,"no","yes",1.016539,15.1499996
"no",2,1,30,"no","no",0.4883839,16.2000008
"no",1,3,40,"no","no",0.907784,33.9199982
"no",0,1,43,"no","no",1.2664924,14
"no",0,2,49,"no","no",0.868948,16.7360001
"no",1,4,46,"no","no",0.7905933,30.6499996
"no",0,0,52,"no","no",1.1224731,12.3999996
"no",1,1,31,"no","yes",0.9095345,19.0219994
"no",1,1,42,"no","no",0.7739376,11.2030001
"no",0,3,33,"no","no",0.7277094,19.8759995
"no",0,0,57,"yes","yes",1.5163242,57
"no",0,0,49,"no","no",0.6946817,18.2900009
"no",0,1,45,"yes","yes",1.2797551,20.2199993
"no",0,0,56,"no","no",0.6829725,22.1499996
"no",1,3,41,"no","no",0.9769933,30.6229992
"no",0,0,56,"no","no",0.5522678,9.3800001
"no",0,1,48,"no","no",0.6948762,22
"no",0,2,52,"yes","yes",1.5904157,23.6749992
"no",0,0,51,"no","no",0.9750484,33.6710014
"no",0,3,35,"no","no",0.6727635,12.3669996
"no",0,0,45,"no","no",0.7362309,21.9500008
"no",0,0,54,"no","yes",1.0375125,32
"no",0,2,54,"no","yes",1.1885178,22.6100006
"no",1,0,31,"no","no",0.8549775,12.092
"no",0,3,53,"no","no",0.1006193,3.777
"no",2,2,35,"yes","yes",1.028466,36
"no",1,3,36,"no","yes",0.7379813,26.8999996
"no",0,0,59,"no","no",0.8670031,32.2420006
"no",0,0,54,"yes","yes",1.2520049,35.0200005
"no",1,1,37,"no","yes",1.1234723,37.5999985
"no",0,0,44,"no","no",1.1221108,1.5
"no",1,2,34,"yes","yes",1.3615706,96
"no",0,0,49,"no","no",0.8514767,18.1499996
"no",0,0,49,"no","no",1.2357149,15.5
"no",0,0,60,"no","no",0.4162857,14
"no",0,0,51,"no","no",1.0380961,14.7559996
"no",1,1,30,"no","yes",0.9791328,22
"no",0,2,47,"no","no",0.869337,24.4659996
"no",0,4,36,"no","yes",0.9779658,24.3999996
"no",1,3,35,"no","no",0.9087565,24
"no",0,0,58,"no","no",1.2635751,15.5
"no",1,3,41,"yes","yes",0.9483608,30.7999992
"no",0,1,51,"no","no",0.6942927,10.6599998
"no",0,0,47,"no","no",1.0669705,13.3500004
"no",1,2,45,"no","no",0.7503316,10.0900002
"no",0,0,60,"yes","yes",1.2476975,55.5999985
"no",1,1,30,"yes","yes",1.4018365,25.7000008
"no",0,0,55,"no","yes",1.12027,29
"no",1,2,32,"no","no",0.7790229,7.2859998
"no",0,2,36,"no","no",0.9234089,37.7519989
"no",0,0,55,"no","no",1.0394524,13.0719995
"no",0,0,47,"no","no",1.217461,7.0440001
"no",0,1,47,"no","no",0.8306625,18.2000008
"no",0,1,37,"no","no",0.6321109,27
"no",0,2,50,"no","yes",0.9530044,30.2999992
"no",0,3,30,"no","no",0.7794119,12
"no",0,1,48,"yes","yes",1.3429654,31.5
"no",0,2,43,"no","no",1.016928,27.0919991
"no",1,0,48,"no","no",1.159844,20.9680004
"no",1,2,41,"yes","yes",1.0431813,27
"no",0,0,50,"no","no",0.7898154,11.2250004
"no",0,0,58,"no","no",0.3109987,37.7000008
"no",0,5,38,"yes","yes",0.8978252,28.2000008
"no",0,1,37,"no","no",1.0154022,34
"no",0,0,50,"yes","yes",1.731246,63.2000008
"no",0,4,42,"no","no",0.5540951,7.5
"no",1,3,37,"no","yes",0.8064445,17.4099998
"no",0,2,41,"yes","yes",1.2545332,51
"no",0,2,31,"no","no",0.7792174,12.9160004
"no",0,0,51,"no","no",1.0073668,21.8999996
"no",1,2,36,"no","no",0.8895015,17.6399994
"no",0,0,54,"yes","yes",1.2692542,20
"no",0,0,49,"no","no",0.7900099,15
"no",1,1,48,"no","no",0.4588832,14.0600004
"no",0,2,42,"no","no",0.5358103,15.8249998
"no",1,2,41,"no","yes",1.2286689,16.5100002
"no",0,0,55,"yes","no",1.6466655,13
"no",0,0,42,"no","no",0.5532817,10
"no",0,1,32,"yes","yes",1.1506077,22
"no",0,2,43,"no","yes",1.1223054,29.7999992
"no",1,3,33,"no","yes",0.7931218,15
"no",0,1,48,"yes","yes",1.5263186,22.2999992
"no",0,2,43,"no","no",1.2282799,14.5500002
"no",1,3,47,"yes","yes",1.7558817,19.7299995
"no",0,0,54,"no","no",1.1201659,35
"no",0,1,51,"no","no",1.0073668,21.0139999
"no",0,1,51,"no","no",1.0053312,10.8760004
"no",1,1,43,"yes","yes",1.2793989,27.8500004
"no",0,0,53,"no","no",1.2513424,9.5600004
"no",1,1,34,"no","no",1.0697975,30.2999992
"no",1,1,31,"no","no",0.6473786,7.7199998
"no",0,0,56,"no","no",0.7886484,10.5500002
"no",0,1,42,"yes","yes",1.2140751,24.1060009
"no",0,2,32,"no","yes",0.9448364,22.9950008
"no",1,3,35,"no","no",0.7927328,6
"no",1,1,30,"no","yes",0.9097289,24.3500004
"no",0,0,51,"no","no",1.0270631,7.6079998
"no",0,3,47,"no","no",0.8518656,28.2000008
"no",0,1,54,"no","yes",0.7747441,16.1499996
"no",3,0,31,"yes","yes",1.2959661,51.2000008
"no",0,0,47,"no","no",0.8275221,12.6459999
"no",0,3,47,"yes","yes",1.2194966,19
"no",0,3,40,"no","no",0.8706985,19
"no",0,0,48,"no","no",0.3129436,14.3999996
"no",0,7,34,"no","no",0.7013521,7.2319999
"no",0,3,38,"no","yes",1.0098952,21.9430008
"no",1,3,32,"no","yes",0.9448364,47.5
"no",0,1,48,"yes","yes",1.4905235,28.8999996
"no",0,2,41,"no","no",1.2186279,12.3999996
"no",0,2,49,"no","no",0.2441965,6.5310001
"no",0,0,59,"no","no",0.8024642,22.4220009
"no",0,0,58,"yes","yes",1.1424105,22.2000008
"no",0,3,41,"no","yes",1.0691812,77
"no",0,2,45,"no","no",1.0684031,88
"no",1,1,30,"yes","yes",1.0665239,26.0400009
"no",0,1,41,"no","yes",1.1226944,63.5
"no",2,0,30,"no","yes",1.0443147,12.1000004
"no",0,1,53,"no","no",1.3169782,17.5049992
"no",0,0,31,"no","yes",1.1172394,18
"no",0,2,43,"yes","yes",1.0814669,28.0690002
"no",1,1,31,"no","yes",1.0112566,14
"no",0,0,51,"no","no",1.2712399,8.1169996
"no",0,0,43,"no","no",0.9425184,11.8950005
"no",1,2,31,"yes","yes",1.2533377,45.25
"no",0,0,48,"no","no",0.9022743,31.1060009
"no",1,1,31,"no","yes",1.1246393,4
"no",0,1,44,"no","no",0.9764099,40.5
"no",0,1,48,"no","yes",0.9330035,21.6200008
"no",0,1,53,"no","no",1.1447335,23.4260006
"no",0,3,42,"no","no",0.9991057,26
"no",2,6,39,"no","no",0.9773824,7.8400002
"no",1,2,32,"no","no",0.6063456,6.8000002
"no",0,2,36,"no","no",0.8895015,5.3299999
"no",0,2,40,"yes","yes",1.0828638,28.2000008
"no",2,3,31,"no","no",1.1580402,10
"no",0,0,43,"no","no",0.8881401,9.9519997
"no",0,0,60,"no","no",1.2249736,24.9839993
"no",0,3,39,"no","no",0.8532125,28.3630009
